ST,STATE,CHARACTERISTIC,PUMS_EST_18,PUMS_SE_18,PUMS_MOE_18
47,Tennessee,Total occupied units,2603147,7068,11627
47,Tennessee,"Owner occupied units (TEN in 1,2)",1728306,10524,17312
47,Tennessee,"Renter occupied units (TEN in 3,4)",874841,8639,14211
47,Tennessee,Owned with a mortgage (TEN=1),1015139,8628,14194
47,Tennessee,Owned free and clear (TEN=2),713167,8467,13929
47,Tennessee,Rented for cash (TEN=3),812121,8603,14152
47,Tennessee,No cash rent (TEN=4),62720,3256,5356
47,Tennessee,Total vacant units,389265,7088,11660
47,Tennessee,For rent (VACS=1),73554,3643,5993
47,Tennessee,For sale only (VACS=3),29812,2594,4267
47,Tennessee,"All Other Vacant (VACS in 2,4,5,6,7)",285899,6666,10965
48,Texas,Total population,28701845,0,0
48,Texas,Housing unit population (RELP=0-15),28101594,0,0
48,Texas,GQ population (RELP=16-17),600251,0,0
48,Texas,GQ institutional population (RELP=16),372351,277,456
48,Texas,GQ noninstitutional population (RELP=17),227900,277,456
48,Texas,Total males (SEX=1),14251334,7505,12346
48,Texas,Total females (SEX=2),14450511,7505,12346
48,Texas,Age 0-4,2006856,4229,6957
48,Texas,Age 5-9,1982285,13352,21964
48,Texas,Age 10-14,2180778,12818,21085
48,Texas,Age 15-19,2068214,7599,12501
48,Texas,Age 20-24,1980381,8810,14492
48,Texas,Age 25-34,4172459,9263,15237
48,Texas,Age 35-44,3925224,9624,15832
48,Texas,Age 45-54,3550455,8552,14068
48,Texas,Age 55-59,1697153,9908,16298
48,Texas,Age 60-64,1542356,10779,17731
48,Texas,Age 65-74,2174762,5388,8864
48,Texas,Age 75-84,1037377,6503,10697
48,Texas,Age 85 and over,383545,6354,10452
48,Texas,Total housing units (TYPE=1),11101498,458,754
48,Texas,Total occupied units,9776081,13180,21682
48,Texas,"Owner occupied units (TEN in 1,2)",6044487,17969,29559
48,Texas,"Renter occupied units (TEN in 3,4)",3731594,17575,28910
48,Texas,Owned with a mortgage (TEN=1),3417716,17810,29297
48,Texas,Owned free and clear (TEN=2),2626771,14385,23663
48,Texas,Rented for cash (TEN=3),3542800,17853,29368
48,Texas,No cash rent (TEN=4),188794,5539,9111
48,Texas,Total vacant units,1325417,13242,21783
48,Texas,For rent (VACS=1),337691,7676,12627
48,Texas,For sale only (VACS=3),99689,4019,6611
48,Texas,"All Other Vacant (VACS in 2,4,5,6,7)",888037,10902,17933
49,Utah,Total population,3161105,0,0
49,Utah,Housing unit population (RELP=0-15),3112996,0,0
49,Utah,GQ population (RELP=16-17),48109,0,0
49,Utah,GQ institutional population (RELP=16),21817,5,9
49,Utah,GQ noninstitutional population (RELP=17),26292,5,9
49,Utah,Total males (SEX=1),1594083,2918,4800
49,Utah,Total females (SEX=2),1567022,2918,4800
49,Utah,Age 0-4,249300,1925,3167
49,Utah,Age 5-9,255234,5155,8480
49,Utah,Age 10-14,270619,5816,9567
49,Utah,Age 15-19,253001,2848,4685
49,Utah,Age 20-24,259394,2938,4833
49,Utah,Age 25-34,461258,3429,5640
49,Utah,Age 35-44,437194,2961,4872
49,Utah,Age 45-54,326750,2708,4455
49,Utah,Age 55-59,151348,3153,5187
49,Utah,Age 60-64,149213,3285,5404
49,Utah,Age 65-74,209261,1791,2947
49,Utah,Age 75-84,102480,2251,3703
49,Utah,Age 85 and over,36053,1876,3087
49,Utah,Total housing units (TYPE=1),1108739,138,227
49,Utah,Total occupied units,998890,3088,5080
49,Utah,"Owner occupied units (TEN in 1,2)",702048,5601,9213
49,Utah,"Renter occupied units (TEN in 3,4)",296842,5451,8967
49,Utah,Owned with a mortgage (TEN=1),492416,5801,9543
49,Utah,Owned free and clear (TEN=2),209632,3972,6534
49,Utah,Rented for cash (TEN=3),284794,5438,8946
49,Utah,No cash rent (TEN=4),12048,1202,1978
49,Utah,Total vacant units,109849,3074,5057
49,Utah,For rent (VACS=1),19703,2312,3804
49,Utah,For sale only (VACS=3),6909,1112,1829
49,Utah,"All Other Vacant (VACS in 2,4,5,6,7)",83237,3036,4994
50,Vermont,Total population,626299,0,0
50,Vermont,Housing unit population (RELP=0-15),600590,0,0
50,Vermont,GQ population (RELP=16-17),25709,0,0
50,Vermont,GQ institutional population (RELP=16),5476,4,7
50,Vermont,GQ noninstitutional population (RELP=17),20233,4,7
50,Vermont,Total males (SEX=1),309776,1436,2361
50,Vermont,Total females (SEX=2),316523,1436,2361
50,Vermont,Age 0-4,28621,502,825
50,Vermont,Age 5-9,32232,2040,3357
50,Vermont,Age 10-14,31526,2021,3324
50,Vermont,Age 15-19,43383,1759,2894
50,Vermont,Age 20-24,42710,1517,2496
50,Vermont,Age 25-34,76920,1451,2387
50,Vermont,Age 35-44,70611,892,1467
50,Vermont,Age 45-54,81363,1240,2041
50,Vermont,Age 55-59,45660,2123,3492
50,Vermont,Age 60-64,50602,1979,3256
50,Vermont,Age 65-74,74112,971,1597
50,Vermont,Age 75-84,34195,1239,2037
50,Vermont,Age 85 and over,14364,1152,1895
50,Vermont,Total housing units (TYPE=1),337133,88,144
50,Vermont,Total occupied units,261372,2129,3502
50,Vermont,"Owner occupied units (TEN in 1,2)",186923,3560,5857
50,Vermont,"Renter occupied units (TEN in 3,4)",74449,3221,5298
50,Vermont,Owned with a mortgage (TEN=1),116933,3040,5000
50,Vermont,Owned free and clear (TEN=2),69990,2727,4486
50,Vermont,Rented for cash (TEN=3),70192,2994,4925
50,Vermont,No cash rent (TEN=4),4257,834,1372
50,Vermont,Total vacant units,75761,2145,3528
50,Vermont,For rent (VACS=1),4248,1022,1681
50,Vermont,For sale only (VACS=3),2980,761,1252
50,Vermont,"All Other Vacant (VACS in 2,4,5,6,7)",68533,2150,3536
51,Virginia,Total population,8517685,0,0
51,Virginia,Housing unit population (RELP=0-15),8273128,0,0
51,Virginia,GQ population (RELP=16-17),244557,0,0
51,Virginia,GQ institutional population (RELP=16),98533,135,222
51,Virginia,GQ noninstitutional population (RELP=17),146024,135,222
51,Virginia,Total males (SEX=1),4188348,4359,7170
51,Virginia,Total females (SEX=2),4329337,4359,7170
51,Virginia,Age 0-4,498239,2877,4733
51,Virginia,Age 5-9,516293,7391,12158
51,Virginia,Age 10-14,535590,7183,11815
51,Virginia,Age 15-19,562943,5696,9369
51,Virginia,Age 20-24,584235,6552,10777
51,Virginia,Age 25-34,1164504,6039,9934
51,Virginia,Age 35-44,1113737,5243,8625
51,Virginia,Age 45-54,1121767,3886,6393
51,Virginia,Age 55-59,570489,6998,11511
51,Virginia,Age 60-64,528291,6747,11100
51,Virginia,Age 65-74,780863,2823,4643
51,Virginia,Age 75-84,392510,4054,6668
51,Virginia,Age 85 and over,148224,3488,5737
51,Virginia,Total housing units (TYPE=1),3538985,599,985
51,Virginia,Total occupied units,3175518,7991,13144
51,Virginia,"Owner occupied units (TEN in 1,2)",2093541,10092,16601
51,Virginia,"Renter occupied units (TEN in 3,4)",1081977,9019,14837
51,Virginia,Owned with a mortgage (TEN=1),1417068,10664,17541
51,Virginia,Owned free and clear (TEN=2),676473,6735,11079
51,Virginia,Rented for cash (TEN=3),1027777,9198,15131
51,Virginia,No cash rent (TEN=4),54200,2528,4159
51,Virginia,Total vacant units,363467,7965,13103
51,Virginia,For rent (VACS=1),59508,3475,5716
51,Virginia,For sale only (VACS=3),31399,2252,3704
51,Virginia,"All Other Vacant (VACS in 2,4,5,6,7)",272560,6921,11385
53,Washington,Total population,7535591,0,0
53,Washington,Housing unit population (RELP=0-15),7392406,0,0
53,Washington,GQ population (RELP=16-17),143185,0,0
53,Washington,GQ institutional population (RELP=16),58181,31,51
53,Washington,GQ noninstitutional population (RELP=17),85004,31,51
53,Washington,Total males (SEX=1),3769663,3842,6321
53,Washington,Total females (SEX=2),3765928,3842,6321
53,Washington,Age 0-4,456921,2214,3641
53,Washington,Age 5-9,467341,5557,9141
53,Washington,Age 10-14,467814,5790,9525
53,Washington,Age 15-19,443469,4878,8024
53,Washington,Age 20-24,478206,4792,7883
53,Washington,Age 25-34,1159509,4882,8031
53,Washington,Age 35-44,1010297,4492,7390
53,Washington,Age 45-54,929554,3685,6062
53,Washington,Age 55-59,491479,6505,10701
53,Washington,Age 60-64,468060,6938,11413
53,Washington,Age 65-74,711324,2691,4426
53,Washington,Age 75-84,323509,4116,6771
53,Washington,Age 85 and over,128108,3522,5794
53,Washington,Total housing units (TYPE=1),3148084,320,526
53,Washington,Total occupied units,2895581,5552,9133
53,Washington,"Owner occupied units (TEN in 1,2)",1817958,9476,15589
53,Washington,"Renter occupied units (TEN in 3,4)",1077623,9182,15105
53,Washington,Owned with a mortgage (TEN=1),1230521,10015,16474
53,Washington,Owned free and clear (TEN=2),587437,6398,10525
53,Washington,Rented for cash (TEN=3),1034703,9437,15524
53,Washington,No cash rent (TEN=4),42920,2440,4015
53,Washington,Total vacant units,252503,5555,9138
53,Washington,For rent (VACS=1),43585,2935,4828
53,Washington,For sale only (VACS=3),16306,1891,3111
53,Washington,"All Other Vacant (VACS in 2,4,5,6,7)",192612,4801,7897
54,West Virginia,Total population,1805832,0,0
54,West Virginia,Housing unit population (RELP=0-15),1757916,0,0
54,West Virginia,GQ population (RELP=16-17),47916,0,0
54,West Virginia,GQ institutional population (RELP=16),27810,9,15
54,West Virginia,GQ noninstitutional population (RELP=17),20106,9,15
54,West Virginia,Total males (SEX=1),894715,1794,2951
54,West Virginia,Total females (SEX=2),911117,1794,2951
54,West Virginia,Age 0-4,93577,1105,1818
54,West Virginia,Age 5-9,98176,2974,4892
54,West Virginia,Age 10-14,107903,3083,5072
54,West Virginia,Age 15-19,111867,2180,3586
54,West Virginia,Age 20-24,113627,2389,3930
54,West Virginia,Age 25-34,208898,2137,3515
54,West Virginia,Age 35-44,219773,2131,3505
54,West Virginia,Age 45-54,232823,1460,2401
54,West Virginia,Age 55-59,130851,3152,5184
54,West Virginia,Age 60-64,126453,2993,4924
54,West Virginia,Age 65-74,216254,1207,1985
54,West Virginia,Age 75-84,105923,1985,3265
54,West Virginia,Age 85 and over,39707,1855,3051
54,West Virginia,Total housing units (TYPE=1),893742,119,195
54,West Virginia,Total occupied units,734701,3680,6054
54,West Virginia,"Owner occupied units (TEN in 1,2)",536382,5278,8683
54,West Virginia,"Renter occupied units (TEN in 3,4)",198319,4215,6933
54,West Virginia,Owned with a mortgage (TEN=1),247327,4672,7685
54,West Virginia,Owned free and clear (TEN=2),289055,4953,8148
54,West Virginia,Rented for cash (TEN=3),163985,3813,6273
54,West Virginia,No cash rent (TEN=4),34334,2104,3461
54,West Virginia,Total vacant units,159041,3668,6035
54,West Virginia,For rent (VACS=1),15854,1590,2615
54,West Virginia,For sale only (VACS=3),10186,1330,2188
54,West Virginia,"All Other Vacant (VACS in 2,4,5,6,7)",133001,3180,5232
55,Wisconsin,Total population,5813568,0,0
55,Wisconsin,Housing unit population (RELP=0-15),5668832,0,0
55,Wisconsin,GQ population (RELP=16-17),144736,0,0
55,Wisconsin,GQ institutional population (RELP=16),68256,8,14
55,Wisconsin,GQ noninstitutional population (RELP=17),76480,8,14
55,Wisconsin,Total males (SEX=1),2887472,5420,8915
55,Wisconsin,Total females (SEX=2),2926096,5420,8915
55,Wisconsin,Age 0-4,332670,3658,6017
55,Wisconsin,Age 5-9,344431,5789,9523
55,Wisconsin,Age 10-14,373453,6058,9965
55,Wisconsin,Age 15-19,372946,3959,6513
55,Wisconsin,Age 20-24,391033,4089,6726
55,Wisconsin,Age 25-34,729636,4627,7611
55,Wisconsin,Age 35-44,721969,5604,9218
55,Wisconsin,Age 45-54,742661,3679,6052
55,Wisconsin,Age 55-59,416775,7611,12520
55,Wisconsin,Age 60-64,407190,8082,13295
55,Wisconsin,Age 65-74,570074,2287,3762
55,Wisconsin,Age 75-84,286495,4242,6977
55,Wisconsin,Age 85 and over,124235,3906,6425
55,Wisconsin,Total housing units (TYPE=1),2710718,363,598
55,Wisconsin,Total occupied units,2371963,4079,6709
55,Wisconsin,"Owner occupied units (TEN in 1,2)",1595895,9943,16357
55,Wisconsin,"Renter occupied units (TEN in 3,4)",776068,8824,14515
55,Wisconsin,Owned with a mortgage (TEN=1),1011812,8935,14698
55,Wisconsin,Owned free and clear (TEN=2),584083,7144,11752
55,Wisconsin,Rented for cash (TEN=3),742532,8828,14522
55,Wisconsin,No cash rent (TEN=4),33536,2371,3900
55,Wisconsin,Total vacant units,338755,4212,6929
55,Wisconsin,For rent (VACS=1),43416,3603,5927
55,Wisconsin,For sale only (VACS=3),16464,2385,3923
55,Wisconsin,"All Other Vacant (VACS in 2,4,5,6,7)",278875,4991,8211
56,Wyoming,Total population,577737,0,0
56,Wyoming,Housing unit population (RELP=0-15),563530,0,0
56,Wyoming,GQ population (RELP=16-17),14207,0,0
56,Wyoming,GQ institutional population (RELP=16),7018,3,4
56,Wyoming,GQ noninstitutional population (RELP=17),7189,3,4
56,Wyoming,Total males (SEX=1),293525,1638,2695
56,Wyoming,Total females (SEX=2),284212,1638,2695
56,Wyoming,Age 0-4,34483,832,1369
56,Wyoming,Age 5-9,34277,1702,2800
56,Wyoming,Age 10-14,40735,1653,2719
56,Wyoming,Age 15-19,40609,1853,3048
56,Wyoming,Age 20-24,33748,2011,3308
56,Wyoming,Age 25-34,78030,1879,3091
56,Wyoming,Age 35-44,71896,1527,2513
56,Wyoming,Age 45-54,67241,1288,2118
56,Wyoming,Age 55-59,38388,1821,2995
56,Wyoming,Age 60-64,40845,1832,3014
56,Wyoming,Age 65-74,59488,1229,2022
56,Wyoming,Age 75-84,27462,1406,2312
56,Wyoming,Age 85 and over,10535,1196,1967
56,Wyoming,Total housing units (TYPE=1),278615,58,96
56,Wyoming,Total occupied units,230250,2278,3747
56,Wyoming,"Owner occupied units (TEN in 1,2)",161516,2581,4246
56,Wyoming,"Renter occupied units (TEN in 3,4)",68734,2660,4375
56,Wyoming,Owned with a mortgage (TEN=1),94984,2890,4754
56,Wyoming,Owned free and clear (TEN=2),66532,2229,3667
56,Wyoming,Rented for cash (TEN=3),62041,2728,4488
56,Wyoming,No cash rent (TEN=4),6693,925,1522
56,Wyoming,Total vacant units,48365,2285,3759
56,Wyoming,For rent (VACS=1),9932,1227,2019
56,Wyoming,For sale only (VACS=3),2523,638,1050
56,Wyoming,"All Other Vacant (VACS in 2,4,5,6,7)",35910,1986,3267
72,Puerto Rico,Total population,3195153,0,0
72,Puerto Rico,Housing unit population (RELP=0-15),3159695,0,0
72,Puerto Rico,GQ population (RELP=16-17),35458,0,0
72,Puerto Rico,GQ institutional population (RELP=16),21969,6,9
72,Puerto Rico,GQ noninstitutional population (RELP=17),13489,6,9
72,Puerto Rico,Total males (SEX=1),1521271,2082,3425
72,Puerto Rico,Total females (SEX=2),1673882,2082,3425
72,Puerto Rico,Age 0-4,125796,414,681
72,Puerto Rico,Age 5-9,168593,3915,6440
72,Puerto Rico,Age 10-14,179939,3752,6172
72,Puerto Rico,Age 15-19,209844,2472,4066
72,Puerto Rico,Age 20-24,222786,2184,3592
72,Puerto Rico,Age 25-34,381773,1802,2964
72,Puerto Rico,Age 35-44,396813,1506,2478
72,Puerto Rico,Age 45-54,421219,684,1126
72,Puerto Rico,Age 55-59,210783,3427,5637
72,Puerto Rico,Age 60-64,215763,3369,5542
72,Puerto Rico,Age 65-74,361430,445,731
72,Puerto Rico,Age 75-84,220679,2879,4736
72,Puerto Rico,Age 85 and over,79735,2970,4885
72,Puerto Rico,Total housing units (TYPE=1),1553061,5142,8459
72,Puerto Rico,Total occupied units,1179645,5968,9817
72,Puerto Rico,"Owner occupied units (TEN in 1,2)",794125,6365,10470
72,Puerto Rico,"Renter occupied units (TEN in 3,4)",385520,5224,8593
72,Puerto Rico,Owned with a mortgage (TEN=1),297414,4754,7820
72,Puerto Rico,Owned free and clear (TEN=2),496711,5824,9581
72,Puerto Rico,Rented for cash (TEN=3),234944,4449,7319
72,Puerto Rico,No cash rent (TEN=4),150576,4026,6622
72,Puerto Rico,Total vacant units,373416,5216,8580
72,Puerto Rico,For rent (VACS=1),28206,1745,2871
72,Puerto Rico,For sale only (VACS=3),22457,1394,2293
72,Puerto Rico,"All Other Vacant (VACS in 2,4,5,6,7)",322753,4449,7319
US,United States,Total population,327167439,10,16
US,United States,Housing unit population (RELP=0-15),319075830,10,16
US,United States,GQ population (RELP=16-17),8091609,0,0
US,United States,GQ institutional population (RELP=16),3877505,534,878
US,United States,GQ noninstitutional population (RELP=17),4214104,534,878
US,United States,Total males (SEX=1),161072404,32014,52663
US,United States,Total females (SEX=2),166095035,32015,52664
US,United States,Age 0-4,19569478,19362,31850
US,United States,Age 5-9,19852661,41560,68367
US,United States,Age 10-14,21397085,38072,62629
US,United States,Age 15-19,21323847,32612,53646
US,United States,Age 20-24,21777990,35372,58187
US,United States,Age 25-34,45277017,30199,49677
US,United States,Age 35-44,41687290,25870,42557
US,United States,Age 45-54,41592338,32924,54160
US,United States,Age 55-59,21566609,37606,61862
US,United States,Age 60-64,20715575,40833,67170
US,United States,Age 65-74,30587720,20343,33464
US,United States,Age 75-84,15501544,26792,44073
US,United States,Age 85 and over,6318285,22792,37493
US,United States,Total housing units (TYPE=1),138539906,2452,4033
US,United States,Total occupied units,121520185,93135,153208
US,United States,"Owner occupied units (TEN in 1,2)",77794832,171533,282172
US,United States,"Renter occupied units (TEN in 3,4)",43725353,98638,162259
US,United States,Owned with a mortgage (TEN=1),48175922,110655,182027
US,United States,Owned free and clear (TEN=2),29618910,82106,135065
US,United States,Rented for cash (TEN=3),41588031,101259,166572
US,United States,No cash rent (TEN=4),2137322,21000,34545
US,United States,Total vacant units,17019721,94594,155608
US,United States,For rent (VACS=1),2901215,26818,44116
US,United States,For sale only (VACS=3),1207670,15757,25921
US,United States,"All Other Vacant (VACS in 2,4,5,6,7)",12910836,73424,120783
